User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Data (Em Spectrum),663,1282,229373,140272,96520,45328,21914,385,502876,344985,197020,99722,40305,624,228168,176556,92926,56201,20864,799,543511,403946,217617,103372,5528,596,254545,155342,109341,55739,14502,820,544527,366521,213112,101838,73947,546,262042,168828,94068,52831,26706,799,535125,408262,217400,107954,57308,624,597947,439361,278442,141085,47913,427,621507,457492,241760,118267,51619,511,644907,338441,234635,131143,60405,378,648529,428922,206373,108031,50793,666,643674,469248,304525,134920,58976,322,631393,443130,245774,158586,56075,764,620604,480871,255064,129749,59613,280,610950,455510,270582,94461,53504
Raw Data (Em Spectrum),664,1225,215234,132590,89496,42799,20974,411,471818,323384,185779,94093,38469,569,212056,165367,84971,52598,20917,684,510532,377034,204563,96463,5692,692,236568,144731,102148,50948,13762,728,510928,344164,196724,96319,68644,519,240394,158421,86722,48152,23489,800,500560,383468,205298,100894,53549,533,565579,415618,261066,132568,44622,468,582497,427485,226395,109058,48758,670,607701,320970,220947,124038,56373,389,606656,402511,193733,99763,48714,555,611721,443278,283344,124650,56748,375,593060,416979,232036,148377,52367,713,583513,451694,238074,121941,55221,303,572395,424595,252758,87572,50141
Raw Data (Em Spectrum),665,1277,200482,124843,83523,39226,19583,371,440732,305912,172747,88155,36205,490,197297,153535,79336,49612,18849,690,474917,351500,189020,89336,4959,631,220681,135815,95386,48380,12390,683,478793,323676,188582,90924,65498,497,226435,146616,81496,45321,23459,713,473106,360171,191544,96960,50132,572,531604,391595,244251,125073,42233,431,544937,396056,211120,101510,44111,512,571595,297657,206532,115081,54244,341,569902,379650,181455,94629,44430,624,575099,417882,266982,118540,51906,379,554513,389776,216784,139838,48973,772,549332,425461,224876,114383,51728,312,535568,398937,237763,82788,47407
Raw Data (Em Spectrum),666,1138,180491,112052,76038,35984,17430,466,404091,275983,157187,80285,33188,657,181881,140001,72250,45249,17285,642,434866,321232,174518,81003,4407,680,199861,123563,87748,43660,11618,642,437379,291718,168583,82317,59219,542,207675,134020,74740,41063,20829,833,428977,325815,173693,87893,45615,626,481917,356620,224502,112763,38214,397,497254,365129,193437,92300,40925,443,524668,273295,189007,105697,49114,420,518053,341993,165039,84822,41223,558,527616,380657,245003,107202,48946,351,504992,355436,193964,126955,44714,787,502647,389159,206025,105827,47128,321,489364,365503,215176,76245,43225
Raw Data (Em Spectrum),667,1108,169887,104157,70321,33278,16548,362,376212,257794,149769,75753,30212,542,167733,129935,66831,40903,15920,653,408161,301433,163079,76775,4552,692,185924,112152,81044,40785,10267,621,408940,275310,160390,75950,54669,519,190909,123260,69095,38616,18781,645,400198,307330,164085,82074,42232,550,454827,332196,209871,106185,35620,448,464850,340151,182741,86138,38128,464,489457,257118,177002,97318,45597,425,483246,323438,152372,81351,38584,527,492185,355497,228990,100674,44032,354,470857,332935,182937,118017,41336,676,469953,368256,192135,96107,44520,299,458184,341126,201946,70274,39237
Raw Data (Em Spectrum),668,1165,156228,96537,64967,30671,14680,405,348127,241265,136644,70228,28462,615,156244,120515,62022,38602,14340,639,375828,280991,150708,71393,3982,591,172486,103917,73748,37444,9784,680,380077,254723,146638,70406,51801,494,177187,113547,64530,35794,17788,728,372583,283095,152562,76427,39112,526,422094,309275,195720,99523,33503,421,434872,319261,168706,79817,34895,494,454027,240472,162880,92846,42964,308,448184,297217,142673,74088,35187,688,455176,329895,212415,93130,41701,324,441476,307681,170600,110035,38675,558,440343,341840,176394,90597,41895,308,425493,316137,186583,66011,37185
Raw Data (Em Spectrum),669,1068,141624,89800,59397,28360,13871,367,321599,222674,127285,65111,26833,500,143559,113030,58137,35191,13654,609,350426,262152,139588,66387,3695,609,156846,96707,69256,34407,9058,617,352128,236403,138487,65628,47603,484,164086,105373,59230,32839,15873,617,346681,261902,140339,71842,36300,509,391348,286458,182128,90367,31454,409,400832,295800,155870,74519,33181,509,421993,221481,153259,85088,39879,442,415520,279202,133316,69181,33690,576,424771,310372,198260,87223,39136,359,407730,287518,157405,104039,35608,551,406478,315811,165337,84662,38035,300,394642,291780,173795,62183,35208
Raw Data (Em Spectrum),670,922,132506,83179,55447,26465,12827,440,299959,204125,118204,60507,25043,578,129997,102248,52309,32611,12776,690,324717,240883,130790,61619,3534,647,146497,91369,63343,31973,8293,552,325122,218495,126471,61990,45042,560,150074,97481,53999,29948,14974,629,320226,243538,128058,64507,33689,552,360871,265029,167100,85739,28801,457,370052,272684,143118,68757,30448,448,389810,205771,140497,79714,36491,371,386681,254908,122446,62352,30198,569,392759,284709,181246,80455,36275,362,374000,264201,145471,93438,33534,629,376742,291744,153022,77610,35904,319,360897,269123,161186,56257,31258
Raw Data (Em Spectrum),671,958,123744,75268,51286,24171,12493,376,279426,192328,108755,55017,23231,537,121757,93542,49505,30050,11750,573,300823,224937,121802,57586,3141,555,136290,83895,59348,30462,7982,528,307910,203004,117417,56682,41343,501,139959,89363,51876,27983,14139,689,298156,226870,122241,61210,32037,528,341978,249099,158188,79671,26471,447,345916,253860,134214,65031,28099,501,365022,194627,131977,74114,34945,331,361469,242208,114321,59492,29048,573,365550,269994,171719,75197,33263,367,351947,246656,136791,87367,30542,626,351106,272867,145024,74418,33907,367,335374,251121,149436,54427,30578
Raw Data (Em Spectrum),672,813,112573,69830,47046,22914,11194,462,262605,180085,103356,53336,21879,536,113155,88616,45310,28122,10907,582,284835,210489,112453,53262,2937,637,124791,75843,54601,26931,7028,536,283071,189459,110485,53123,38355,536,129788,82760,47000,25795,13059,619,280264,211578,111834,58424,29545,628,316846,231130,146190,74337,25342,471,324447,237512,125586,58923,25703,554,341025,180685,121947,68953,31503,369,339353,224037,106468,56393,26746,563,345402,249601,159425,70708,31623,443,329397,232580,128975,82104,28880,665,328880,254709,133103,68270,31798,379,319506,236080,140538,50103,28889
Raw Data (Em Spectrum),673,840,105844,64637,44081,20604,10760,411,244817,168781,96248,47480,19868,525,104812,80314,41694,27105,9777,516,263463,196478,104660,49742,3007,468,115525,70174,51509,25616,6779,582,264733,176342,102321,48740,34524,458,119878,77354,42334,24031,11944,659,260513,196621,106493,53151,27735,554,292784,217358,138716,68971,23382,411,301195,223240,117778,56636,24709,554,315325,165897,115047,63825,29483,391,312518,207830,100134,52339,24938,678,318199,231365,147280,64837,29502,382,306465,214122,117950,77889,26809,601,306312,236520,125110,64207,28776,363,295237,218428,128691,46477,26065
Raw Data (Em Spectrum),674,879,97501,59950,41689,19358,9906,484,229313,159347,89639,46113,18617,642,96523,75693,39466,24513,9353,681,246083,182577,97185,46301,2805,622,107446,65570,47071,23694,6370,583,248947,165678,95298,46469,33659,474,111713,71753,40701,22133,10844,583,242290,185579,100563,52079,25788,612,275801,201737,125303,65343,21442,435,282873,208769,108572,52385,22943,474,295455,154844,105639,60573,28010,415,295880,196493,93995,48711,23062,583,295139,217678,137066,61738,27200,494,283999,201886,110518,71615,26133,602,288325,218182,116730,60691,27911,405,277549,207061,120780,42943,24681
Raw Data (Em Spectrum),675,929,92158,56704,37466,18258,9282,490,216298,148504,84755,43235,17513,490,91555,70969,36628,22455,8904,654,234055,171868,92485,44450,2737,582,102308,60840,43929,22649,5902,541,236894,156929,91402,44246,31809,500,103094,67589,37118,21219,10416,572,230502,174697,92107,47718,24712,551,257868,189983,120321,61054,20658,460,265231,196038,103145,49719,22097,429,280109,146462,100317,56622,25998,419,277883,182947,89442,45992,21903,511,280997,204882,129634,57633,25273,439,267610,187982,104228,68886,23936,551,269703,206566,108741,55713,25192,368,261994,193833,115501,40805,22720
Raw Data (Em Spectrum),676,896,84678,52540,35744,16596,8751,401,201367,137334,79005,39919,16849,517,84024,66332,33677,20571,8224,506,217299,162671,87219,41290,2625,590,92544,58266,40963,20213,5725,569,220093,144399,83508,41543,29839,464,95496,63031,34352,19991,9953,696,212523,164812,86428,45676,23017,517,240116,177275,110785,57327,18431,453,248752,182536,98691,45033,21436,538,260466,135141,93851,52403,25031,464,259960,172393,81483,41954,20877,548,259222,187544,123343,54765,24694,390,252168,176125,98027,62536,22079,580,249089,191836,102044,51170,24156,443,243923,181165,108412,38338,21805
Raw Data (Em Spectrum),677,862,79690,49333,34035,15822,8009,458,191822,131566,75336,38137,15921,567,79308,61085,31470,19751,7955,655,204251,152037,81578,39545,2324,513,87602,53611,38770,19063,5511,535,207895,139128,80891,39370,28011,567,90646,57463,33009,19260,9668,567,202254,154361,83815,43026,21442,589,226544,165109,105606,52476,18038,480,235415,172912,91082,43997,19031,546,244134,129045,88365,48569,23734,458,243687,162709,78719,40167,20362,644,245673,178891,115656,51516,22522,502,239693,167346,90842,61391,21027,644,235055,181499,96386,48668,22424,458,231793,172453,104199,36228,21006
Raw Data (Em Spectrum),678,802,75872,47382,31968,14872,8130,497,182234,125953,71705,37321,14962,565,74901,57398,31562,19208,7329,644,196112,148108,79113,36598,2417,565,82693,50194,36598,18598,4923,621,200267,131882,76866,37919,27113,542,86284,55433,31675,17943,8492,644,194068,147804,78481,41600,21105,519,216630,158520,97937,50770,16487,508,224670,165058,86792,41137,18463,395,232540,122949,84251,46467,21681,395,234494,155189,73806,39342,18485,587,232676,172421,109500,46851,20857,463,224331,160801,87684,56755,19784,644,227210,174882,90507,47450,21737,384,220943,163839,97474,35130,19332
Raw Data (Em Spectrum),679,772,72641,45367,30198,14362,7181,480,174345,119177,68442,34747,15157,550,70126,56010,28701,18011,6479,538,188800,142744,75331,36771,2234,573,78851,49203,34642,18257,4830,503,191701,129797,73647,36303,26327,538,81857,53062,30747,16689,8514,725,187888,140100,76103,40291,20923,526,202882,150591,94511,48642,16187,491,214940,158228,83693,40981,18561,515,221770,115937,80991,45753,21286,456,224565,148732,70653,37765,18081,678,223431,161059,102207,44841,20876,526,216016,152813,84102,55788,19906,585,213174,165316,89365,44314,20678,468,211174,158813,93377,33847,18958
Raw Data (Em Spectrum),680,754,70247,41973,29428,13505,7196,498,167880,115137,66102,33792,14003,547,68010,53205,27155,17869,6552,608,182831,134428,72714,33233,2164,498,76008,46908,33610,17115,4510,596,180582,122126,70988,34230,24481,486,76519,49825,27702,16398,7840,632,178564,136215,72192,38290,19048,559,196652,141186,90328,45146,15474,523,207920,152284,80336,38679,16702,535,210910,109485,76932,43006,20907,450,216295,143970,68059,35287,16690,559,211627,152357,99663,43371,19485,498,209245,146595,82329,51989,19838,535,202486,158155,81928,41936,19060,401,202316,152090,91069,30948,17783
Raw Data (Em Spectrum),681,834,66329,41061,27492,13822,6645,518,161728,112721,63840,31775,13379,619,67390,51989,27289,17245,6355,531,174501,130825,69613,34061,2059,505,72153,44686,30827,16500,4536,569,173730,116801,68400,33051,23802,543,76208,48148,28073,15691,7441,657,171772,130673,71256,36853,18913,594,188423,138254,86833,44282,15401,480,199314,146516,77446,38066,16273,632,204115,108071,72026,42059,19014,467,207956,138772,64282,34794,16791,670,203951,147300,95538,41162,18989,467,201550,142613,78571,51825,18003,619,194917,150193,80100,41351,18269,493,197621,149473,86593,30410,17700
Raw Data (Em Spectrum),682,758,63926,39032,27572,12571,6599,562,157933,106512,61757,30787,13420,536,62070,49251,25338,16204,6730,562,170856,126022,67402,31819,2091,680,70603,43514,30852,15825,4678,666,169197,112445,64187,31649,22881,562,70995,47395,26527,14779,7148,732,166949,125565,67977,35073,18111,614,182434,134934,81279,42835,14884,510,193476,142369,74667,36471,16439,575,194025,103311,72550,40417,18948,549,200310,132739,63129,33635,15589,536,197827,141428,91393,41437,18830,510,196063,134555,76980,49016,17040,627,186981,143846,77464,38170,17458,431,187491,141285,83083,29362,16739
Raw Data (Em Spectrum),683,853,61062,38732,26214,12397,6510,582,153779,105289,59614,30477,12410,650,60440,48246,25348,14778,6144,636,164524,121989,65190,31654,2111,650,68316,41249,30788,15523,4561,609,167488,111799,63931,31100,23494,568,69751,43618,25172,14359,7322,555,164064,124588,66178,34794,17620,541,177083,129216,80171,41195,14372,474,190765,138161,72863,36161,15834,623,189547,100688,69940,37555,18013,501,198128,130840,61522,31654,16213,541,190928,136916,88995,39950,17336,406,191659,134507,73459,48151,17837,623,181522,139095,73161,37244,16619,541,185758,138595,83433,30057,16687
Raw Data (Em Spectrum),684,731,61276,37909,24729,13180,6337,534,151763,102950,60250,29928,12280,590,60109,46269,24392,15681,6098,576,163130,121582,65055,30912,1953,590,67472,41520,28987,15372,4426,576,163650,109681,62582,30645,22242,618,68905,43698,24097,14529,7517,745,160755,122748,66432,34396,17226,548,172755,126204,77715,39637,14318,506,183686,138695,73177,34860,15273,604,187115,99381,67135,36588,18168,534,194828,127132,60952,32022,15498,632,188435,137585,86932,38499,17423,492,187143,131445,74062,47070,17367,703,180103,139763,73753,38780,16116,478,182955,137923,81129,28298,16088
Raw Data (Em Spectrum),685,919,60162,38668,24864,11542,6377,598,149594,103484,60293,28585,12636,671,60293,45001,24412,15102,5910,598,161924,118032,64408,31066,2320,613,65809,39193,29329,14606,4261,671,161632,108446,62686,30803,22369,613,68712,43775,24952,14825,7150,657,160231,122278,63882,34320,17393,700,170154,123665,77555,39792,13395,496,184497,136184,70522,35005,15102,686,183914,98903,65663,36611,17218,467,190626,126641,59826,30453,15248,627,184848,130421,86412,38683,17087,613,186584,131413,72929,46387,16766,657,173612,133923,71587,35983,16109,540,181389,134185,81393,28498,16649
Raw Data (Em Spectrum),686,938,57286,37379,24173,11981,6111,620,148228,102212,57709,29936,12525,620,58435,45471,24596,14038,5809,711,159574,116523,64456,30057,2209,666,66664,39390,28287,14492,4069,590,159710,106660,63548,30072,21677,605,65968,41932,24097,14144,6883,681,158348,121242,63972,34989,17063,560,167092,123904,76709,40041,13493,650,180872,133555,70189,35261,15414,620,179072,96222,64592,36229,17502,499,189480,128155,61294,30587,14234,560,176486,130833,83561,35064,17335,514,183656,128866,71520,46061,16382,605,173838,132905,70567,35609,16988,514,178013,133631,80657,28968,16065
Raw Data (Em Spectrum),687,926,59648,36721,24779,11974,6120,518,145566,102129,58267,29942,12491,643,56839,44724,24371,15442,5696,675,160192,118496,63540,29910,1867,659,64811,38557,28545,14500,4378,832,160600,109018,62520,31103,21907,659,66741,41978,24230,13778,7109,738,157634,119454,63509,34179,17576,596,167787,120301,76047,39577,13480,596,183841,134095,69315,33567,15473,659,178317,91458,64246,35874,16744,565,188941,125841,60464,31182,14987,785,179369,131506,83313,37255,17168,581,186054,126939,71936,46419,16901,628,170455,132855,70571,35481,16336,565,182162,132133,78197,29126,16085
Raw Data (Em Spectrum),688,929,58382,34824,24797,11999,5902,636,148034,100754,56605,29248,11412,603,56899,44541,24471,15178,6195,750,162560,114857,62621,28824,2136,652,63143,40970,27504,14037,4483,620,161207,106346,61936,29884,21178,668,66045,43840,23787,13043,7173,734,157718,120106,62768,34840,16336,652,165087,120922,76642,36862,13238,554,182842,133361,69957,34481,15260,636,180706,93467,62882,35411,17037,652,188776,126090,59197,31465,14689,717,178097,129171,81826,35688,16646,538,184945,128926,70691,46285,16401,750,169636,131633,70479,35297,16450,587,179988,132024,80343,28710,15831
Raw Data (Em Spectrum),689,881,57659,35612,24486,11735,5893,593,148322,103787,56914,29126,12091,559,58337,45213,23115,14207,6181,660,158957,117808,64162,29617,2151,762,64297,38456,27822,14123,4267,728,161937,107614,64263,31632,21997,660,67210,43096,24012,13699,7332,779,158313,120077,64111,33563,17323,660,164511,120432,74949,39049,13835,593,182240,134217,69750,34799,15359,677,177279,92407,62604,34850,16121,660,189488,125800,59573,30125,15647,728,174790,128137,82382,37525,16375,610,182850,128815,72256,45856,16358,610,170607,129407,67819,35578,16561,610,176957,131372,77946,28449,15918
Raw Data (Em Spectrum),690,828,58491,34936,23326,11822,5638,599,148818,101691,58967,29175,12156,828,58897,45172,23872,14394,5708,740,158720,116542,64023,30373,2414,793,65627,37438,27995,14165,4211,722,160235,109090,62262,29950,23203,740,64499,42406,24912,14094,7082,758,158949,117987,64940,32681,17565,687,163987,120172,74295,38636,13302,634,180460,133808,71670,33544,14676,529,175791,94679,62103,34813,17213,599,188423,126585,59689,30056,14764,722,173466,127395,81571,35729,17424,599,185270,129351,71018,46441,16244,705,171739,129985,69150,35835,16984,529,181429,133949,79087,28224,15838
Raw Data (Em Spectrum),691,974,58071,36563,24927,12298,6544,717,149820,104708,60387,29633,12905,735,59928,45424,24137,15074,6085,809,164214,119893,64910,30166,2353,680,66546,38843,28953,14430,4155,717,163607,108477,64285,30993,21159,699,67557,42887,24523,13585,6949,882,161805,121841,66969,34082,17372,625,167081,120940,74671,39100,12629,643,186916,136437,70719,35644,15276,754,178037,94708,64303,36067,16747,588,191916,128367,59689,31435,16195,809,177320,129580,84414,36839,16122,643,186181,130647,72833,47005,16489,717,171806,130922,71748,36563,16048,662,184232,134801,80829,28273,16085
Raw Data (Em Spectrum),692,1031,60944,37491,25650,12166,6073,707,152504,103974,61536,29890,13942,726,60429,45875,23415,14725,5730,688,164020,120036,66349,31265,2082,764,65738,40260,28534,13675,4030,707,164651,110983,62931,31723,22307,745,67667,43335,25764,13847,6532,764,162798,121659,65967,34130,17571,802,168681,121602,77694,38236,14038,649,189307,135697,73492,35409,15164,802,180503,95475,64573,35600,17418,668,192707,132527,61727,33156,16215,745,183616,131151,83194,37395,16826,668,187455,131973,73588,47422,16883,688,170590,133176,71200,35944,17189,688,186175,138600,80864,29660,16501
Raw Data (Em Spectrum),693,931,58931,38759,24690,12107,6678,654,156501,107300,60952,29327,12622,753,60397,46090,24393,15773,6123,773,168985,123588,66659,32953,2061,694,65846,40463,30238,14584,4617,852,166191,114414,66064,31348,22134,753,68085,45001,24690,14089,6896,832,167637,125906,68680,35945,17576,753,171125,121547,78132,38818,13871,753,192367,140728,73455,36856,16447,614,184025,95430,64578,36896,16130,773,199382,134189,64558,32656,17140,733,180200,132584,82551,37728,18190,654,190484,136527,73990,45952,17200,812,174830,134843,72782,36619,16625,515,192763,140887,83442,29208,16447
Raw Data (Em Spectrum),694,928,61414,38564,25923,12704,6352,742,160280,109898,62301,32110,13508,825,60589,47185,23984,14869,6702,825,172014,126871,70365,33161,2433,701,66838,41988,30460,14725,4290,763,172550,116188,65951,32378,22974,742,69107,45617,25613,14539,7837,804,169436,130562,69292,35925,18767,701,171437,129717,80862,40647,14250,701,193936,144524,75149,36812,16746,887,185109,98638,68467,37843,18395,887,207567,136254,64240,35244,17034,846,190224,135079,88410,38626,17880,784,197772,140461,75830,49103,17344,804,181645,137265,72076,36667,17715,681,192245,143431,84079,29181,17880
Raw Data (Em Spectrum),695,1113,65029,37908,27484,13036,6828,771,162229,111970,63744,31487,13314,899,61904,46149,24744,16054,6871,813,176100,129586,69781,34719,2205,856,67533,43260,30609,15176,4495,792,177684,119911,66827,33328,24081,856,70615,46599,25986,15155,8048,899,173981,131577,71686,36667,18836,878,173446,128495,80312,41397,14834,706,195065,144506,80355,38401,16910,813,188279,99983,69417,38551,18794,706,208871,139476,66655,33991,17467,835,190291,137421,88146,40263,17509,749,202000,142044,77936,52186,18216,771,182693,141274,75260,38444,17360,706,199517,146325,88788,30524,17595
Raw Data (Em Spectrum),696,1003,63700,40172,27739,12923,6283,847,163985,115124,66753,33354,13658,780,62854,51424,26247,16309,6328,891,180629,132881,71454,33800,2451,914,71253,43871,29945,16354,4590,869,182033,123947,70474,34045,24910,847,71989,48795,27026,14416,7509,847,180094,134931,73214,38412,19607,780,180941,133706,82305,43224,14081,824,204625,151308,80099,38479,17602,758,191947,101711,70941,40484,18159,624,211198,142083,68067,36407,17245,802,195557,141482,91640,41331,18092,691,206162,146941,79118,53629,19184,802,188739,143888,76556,38211,17936,713,202330,153157,91707,31438,19540
Raw Data (Em Spectrum),697,1136,68510,39566,28387,13127,6563,905,175636,118652,65959,34557,13915,858,66145,48750,27784,16443,6819,858,189992,136742,73242,34696,2621,789,72639,46988,31774,15493,4894,858,188740,127906,71665,35600,24306,858,73984,48843,26138,15261,8813,974,184843,141311,75143,38314,20386,905,183800,136302,84977,43347,15469,835,211376,159772,81429,40703,18090,905,201194,106662,73195,40679,19945,603,216292,148524,69438,37734,18600,881,198689,143399,90474,40679,19528,835,218890,149289,82704,55082,19273,881,189505,146159,78901,39497,18299,719,206296,156827,92654,31542,18902
Raw Data (Em Spectrum),698,1013,69928,44688,28159,13561,6780,869,176605,123230,70290,36749,14550,941,69252,52458,28811,18242,7022,1013,191613,144150,77866,35784,2775,941,75091,46763,31972,17301,5115,1013,195281,134619,72075,38197,26929,893,78156,49562,29293,15757,7601,1013,189996,146225,78904,41141,20969,820,190431,141689,86891,45219,15950,893,219024,159231,85419,42975,18218,820,201506,111213,75936,42637,19907,651,225732,154719,73595,39018,18097,820,208528,152041,95071,43530,20462,724,220472,156915,86601,56318,21355,917,199262,151823,81365,42227,18821,772,218300,160896,97411,33033,20317
Raw Data (Em Spectrum),699,1204,72035,44846,30650,14522,6822,903,184502,129021,75948,37246,14773,878,69226,53926,28919,18460,7775,878,198748,146528,79685,38099,2583,903,78255,49612,34964,18360,5568,1079,205169,138401,78029,38400,27766,953,81089,52421,29973,17156,9305,1079,200303,150616,78807,43266,22222,978,197369,145023,92376,47630,16529,828,230050,169026,89492,44219,18285,853,213697,112517,77302,43993,20868,1053,236471,161125,75872,40607,18937,1053,211941,152021,100729,43040,20968,853,231304,161903,88915,57187,21871,878,205119,159771,85930,42438,19714,803,226990,165540,100202,34287,20893
Raw Data (Em Spectrum),700,1235,74641,48079,31238,16000,7567,920,196600,133466,76901,39331,16210,998,75666,58247,30004,20178,6962,1103,213231,154485,84283,39173,2995,1051,80448,52099,36546,18260,5754,1025,212627,145788,81157,39593,29636,972,84415,55804,30082,18312,8276,1103,208449,157874,86832,43823,23304,946,208186,153066,93742,49971,16315,893,238532,176790,91167,44743,19705,736,227261,117492,81104,44322,21412,1025,246203,167542,80159,43166,20650,1077,224318,161132,104592,47974,20414,814,241422,172771,93873,59876,21675,893,216173,166202,88356,44086,20151,920,239661,180285,105854,35679,22096
Raw Data (Em Spectrum),701,1453,75989,51610,34306,15110,8858,1015,203615,139336,80431,42533,17496,1069,74892,60879,30823,18812,8007,878,221879,164153,89124,43027,2797,1152,86602,52679,38310,19553,5951,1042,221796,148852,83612,39626,30577,932,86602,59782,31865,17715,9324,1179,220233,167417,89042,45879,24790,932,214941,158477,100148,50211,18675,987,249082,182280,99874,48045,20677,1207,228378,123814,84874,48401,22240,823,261039,172161,83941,43246,21088,1015,232491,169940,108101,49252,22350,878,253031,180031,99161,65815,22267,1042,222537,175315,93073,47606,21116,932,249164,188615,107635,37542,21746
