User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: HCQY exp 2 Fluorescence,Date: 24/10/2023,Time: 15:48:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A 1-6 Tetraphenyl porphyrin ,,,,,,A 7-12 C7SHU,,,,,,B 1-6 Tetraphenyl porphyrin ,,,,,,B 7-12 C7SHU,,,,,,C 1-6 Tetraphenyl porphyrin  ,,,,,,C 7-12 C7SHU,,,,,,D 1-6 Tetraphenyl porphyrin ,,,,,,D 7-12 C7SHU,,,,,,E 1-6 C5SHU,,,,,,E 7-12 C8SHU,,,,,,F 1-6 C5SHU,,,,,,F 7-12 C8SHU,,,,,,G 1-6 C5SHU,,,,,,G 7-12 C8SHU,,,,,,H 1-6 C5SHU,,,,,,H 7-12 C8SHU,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),580,180,934,904,479,313,171,1272,1311,935,609,2565,283,127,847,608,407,292,232,157,1127,982,602,352,230,112,871,621,403,395,208,159,1284,844,524,353,217,150,1868,712,424,344,236,187,1326,905,483,344,265,114,3243,1175,733,494,307,192,926,831,424,302,193,153,1540,1086,638,488,232,172,1269,759,453,248,187,220,1648,1250,636,783,275,224,1031,778,383,302,349,1176,2734,1300,690,422,268,192,982,801,572,373,201
Raw Data (Em Spectrum),581,169,963,963,441,293,177,1182,1378,1004,591,2606,301,125,852,626,401,295,193,148,1289,966,609,348,230,119,836,608,402,337,239,135,1374,871,567,370,218,145,1927,706,452,314,224,174,1384,985,496,348,296,116,3201,1224,775,481,340,192,993,914,447,302,186,190,1640,1093,710,482,245,148,1418,721,505,255,207,192,1708,1235,732,824,257,228,1087,816,426,284,348,1259,2979,1394,733,437,284,192,1138,793,520,414,230
Raw Data (Em Spectrum),582,176,979,984,473,321,151,1107,1454,1049,680,2495,313,144,883,693,391,328,224,128,1257,1049,611,379,197,116,938,634,394,368,238,159,1507,950,602,418,221,145,1903,765,458,348,215,195,1469,1040,580,353,344,113,3265,1286,736,507,308,179,1156,968,525,299,192,165,1675,1182,782,509,241,145,1410,809,490,301,228,202,1762,1416,748,834,296,215,1153,846,451,362,377,1248,3210,1474,765,435,281,191,1179,854,567,403,214
Raw Data (Em Spectrum),583,176,1022,983,530,292,184,1118,1610,1107,687,2533,289,140,915,733,412,290,210,157,1474,1074,712,469,225,113,986,667,488,374,239,137,1584,1108,638,440,239,145,1914,756,457,323,219,182,1499,1082,587,389,307,127,3302,1420,795,505,358,195,1226,1008,542,326,212,150,1851,1271,837,554,244,162,1524,885,513,313,228,216,1851,1433,794,840,289,235,1320,997,500,377,384,1303,3554,1556,809,536,270,191,1189,976,639,440,222
Raw Data (Em Spectrum),584,197,1085,1037,565,284,195,1094,1641,1227,751,2702,298,136,1090,781,453,320,212,142,1552,1168,751,493,251,136,1068,706,495,354,240,147,1683,1112,670,421,298,169,1920,837,446,364,262,159,1691,1241,640,442,334,119,3439,1447,813,553,342,169,1263,1127,645,379,206,178,1992,1350,870,581,248,144,1778,1026,564,311,244,181,2072,1491,884,877,295,231,1372,1069,546,397,375,1374,3881,1652,863,550,306,192,1396,1013,709,465,242
Raw Data (Em Spectrum),585,169,1107,1096,627,324,178,1069,1791,1330,791,2640,321,125,1041,809,545,330,213,142,1666,1358,772,507,234,118,1020,753,445,381,235,164,1849,1260,657,463,281,156,2096,888,486,341,265,223,1797,1327,670,433,303,112,3487,1646,913,534,366,178,1497,1153,624,415,212,190,2058,1497,927,597,300,152,1871,1011,616,319,248,208,2162,1647,843,995,340,268,1434,1197,646,428,376,1333,4125,1682,922,546,313,197,1450,1262,701,482,254
Raw Data (Em Spectrum),586,157,1250,1197,559,339,169,1051,1894,1464,903,2542,332,137,1224,805,542,304,227,110,1820,1400,868,535,256,120,1205,759,481,412,230,161,1993,1368,786,511,256,142,1967,884,497,387,284,185,1983,1408,826,511,348,129,3556,1665,1015,638,360,203,1512,1355,718,462,249,169,2220,1518,994,702,286,168,2020,1165,695,380,256,213,2220,1742,980,975,310,243,1624,1326,662,487,352,1306,4457,1910,1037,562,368,198,1646,1336,865,515,267
Raw Data (Em Spectrum),587,173,1308,1181,648,328,178,1093,2178,1564,927,2667,346,116,1279,862,556,364,249,170,1908,1538,933,598,259,121,1284,801,535,409,252,181,2295,1556,859,529,304,160,2012,888,530,383,277,202,2149,1540,802,560,346,126,3823,1789,1071,663,374,223,1721,1436,870,492,260,180,2345,1679,1003,632,370,180,2120,1357,755,429,262,217,2395,1866,993,1011,353,243,1826,1525,763,479,429,1392,4756,2041,1148,666,378,233,1769,1478,880,569,272
Raw Data (Em Spectrum),588,187,1342,1236,656,363,187,1049,2423,1694,1041,2668,375,142,1324,922,571,349,246,165,2228,1648,1030,611,285,131,1300,850,571,431,260,192,2519,1699,987,627,337,160,2086,1031,568,401,270,241,2447,1722,899,629,383,133,3852,1987,1089,722,434,180,1914,1596,902,534,283,177,2498,1866,1175,827,378,167,2405,1400,817,422,308,237,2670,2074,1170,1077,321,236,1982,1621,828,573,419,1323,5067,2246,1193,652,403,219,1997,1580,994,593,308
Raw Data (Em Spectrum),589,199,1414,1278,701,404,210,981,2638,1939,1097,2779,434,123,1324,936,593,393,297,169,2325,1813,1137,679,315,151,1304,890,560,434,237,197,2678,1859,1094,603,365,162,2105,1081,618,469,292,230,2539,1906,1056,653,383,138,4055,2080,1210,759,444,225,2130,1709,933,585,297,171,2759,2000,1216,839,404,196,2695,1560,903,487,330,232,2950,2350,1283,1112,380,257,2191,1730,923,603,426,1405,5212,2400,1256,774,452,239,2198,1715,1099,658,303
Raw Data (Em Spectrum),590,213,1437,1378,743,416,205,947,2804,1950,1225,2593,426,173,1452,1039,681,413,267,180,2616,1955,1235,725,336,124,1401,1014,646,485,289,185,2855,1955,1166,703,357,153,2093,1088,633,458,312,208,2816,2068,1051,660,445,131,4184,2246,1356,765,478,242,2306,1984,989,644,317,191,2912,2128,1328,915,403,193,2813,1710,1004,505,341,233,3113,2388,1366,1188,374,269,2486,1895,978,695,458,1364,5590,2462,1386,863,483,250,2336,1834,1156,695,332
Raw Data (Em Spectrum),591,194,1452,1331,790,432,255,889,2981,2172,1237,2708,430,153,1499,1112,675,447,299,187,2791,2189,1287,804,367,134,1545,991,654,503,323,211,3284,2147,1285,761,393,190,2257,1198,678,481,311,252,3063,2118,1220,726,478,161,4479,2388,1397,816,496,260,2570,2045,1101,625,325,201,3265,2235,1406,989,410,235,3075,1832,1022,573,352,265,3389,2568,1460,1234,408,243,2527,2082,1098,770,456,1394,5663,2592,1547,855,476,274,2580,2074,1208,707,388
Raw Data (Em Spectrum),592,222,1685,1420,751,444,239,888,3200,2439,1498,2577,480,169,1604,1136,680,406,320,189,2963,2286,1382,830,425,157,1568,1102,699,549,296,200,3439,2436,1375,799,430,182,2298,1300,671,561,310,239,3331,2284,1334,818,479,176,4644,2582,1474,840,508,270,2668,2181,1203,732,370,200,3644,2374,1649,1019,472,219,3321,1980,1115,632,413,270,3517,2889,1592,1300,418,270,2814,2222,1160,868,446,1332,5872,2871,1579,916,510,253,2839,2276,1310,787,418
Raw Data (Em Spectrum),593,220,1661,1438,797,445,235,938,3548,2436,1475,2660,528,187,1696,1229,720,472,305,218,3183,2462,1456,943,401,174,1705,1147,772,509,300,221,3511,2563,1316,837,502,187,2387,1245,767,561,391,291,3562,2568,1435,840,511,190,4798,2643,1611,938,589,291,3018,2361,1247,788,422,225,3701,2655,1625,1166,532,227,3544,2151,1177,657,474,282,3846,3084,1754,1363,476,270,3037,2568,1184,873,441,1287,6023,3072,1752,992,610,296,2950,2354,1370,844,425
Raw Data (Em Spectrum),594,215,1763,1408,853,519,270,908,3677,2550,1586,2610,539,164,1688,1160,828,487,307,215,3414,2538,1657,996,489,187,1771,1174,811,562,332,253,3732,2718,1537,906,484,198,2338,1349,758,595,364,283,3781,2690,1581,865,530,185,5014,2939,1733,1010,608,279,3232,2510,1353,828,392,224,3974,2709,1752,1272,530,258,3818,2308,1295,661,477,265,4044,3361,1807,1455,473,318,3200,2644,1351,918,572,1286,6425,3380,1902,1070,623,330,3025,2448,1521,892,470
Raw Data (Em Spectrum),595,258,1884,1583,896,483,338,916,3927,2800,1698,2708,587,199,1877,1265,825,538,365,224,3694,2868,1753,1030,535,184,1814,1288,809,562,324,249,4079,3027,1626,950,551,211,2392,1356,787,640,410,302,3894,2875,1610,979,547,197,5177,3200,1832,1070,642,284,3333,2583,1556,871,410,224,4358,2979,1916,1254,544,279,4054,2399,1449,758,487,277,4345,3631,1991,1440,474,274,3474,2798,1472,966,596,1277,6413,3481,1936,1199,664,329,3283,2642,1530,955,465
Raw Data (Em Spectrum),596,228,1908,1660,893,487,274,882,4201,3154,1826,2652,605,205,1864,1417,859,554,399,219,3728,3027,1866,1149,554,199,1899,1308,786,524,355,255,4379,3149,1745,1020,582,201,2502,1467,833,667,409,308,4325,3116,1652,989,625,207,5520,3497,1906,1123,674,306,3565,2857,1574,982,451,225,4656,3143,2025,1366,542,266,4294,2522,1502,770,493,284,4785,3902,2054,1560,511,341,3728,2924,1591,1074,600,1283,6749,3763,2109,1228,714,388,3471,2870,1728,1056,469
Raw Data (Em Spectrum),597,273,1952,1660,947,594,305,818,4498,3179,1978,2539,616,211,1980,1359,892,517,354,226,4227,3196,1923,1187,547,238,1996,1326,833,626,354,266,4552,3366,1833,1119,580,255,2581,1482,840,648,440,347,4572,3196,1893,1038,637,224,5836,3555,2014,1176,743,316,3721,2924,1814,994,477,250,4730,3322,2180,1455,666,218,4669,2805,1673,846,574,360,5036,3959,2178,1585,523,321,3777,2987,1561,1119,591,1350,6927,3893,2273,1370,745,345,3799,2961,1721,1033,530
Raw Data (Em Spectrum),598,255,2084,1692,1040,555,299,882,4624,3387,2086,2591,626,199,2095,1384,879,567,398,262,4265,3242,1965,1239,561,225,2133,1321,999,680,431,275,4901,3496,1926,1196,619,228,2573,1551,1001,702,444,346,4694,3429,1954,1107,667,208,6028,3857,2192,1282,697,346,3920,3182,1837,1077,522,279,4869,3531,2278,1534,700,284,4828,2844,1560,862,576,351,5274,4431,2445,1715,594,346,4119,3385,1746,1191,635,1445,7297,4094,2307,1423,778,373,3987,3143,1830,1239,542
Raw Data (Em Spectrum),599,277,2207,1821,1042,587,297,818,4801,3561,2079,2673,692,203,2114,1486,961,566,403,271,4477,3444,2107,1366,617,207,2184,1469,894,647,348,288,5057,3640,2013,1148,681,226,2686,1614,927,702,444,371,5194,3636,2103,1215,719,246,6167,3930,2269,1324,777,361,4150,3292,1838,1116,529,316,5303,3610,2391,1546,702,312,4931,3048,1718,875,572,363,5561,4494,2449,1821,611,357,4327,3554,1800,1196,681,1351,7536,4131,2502,1411,809,406,4156,3300,1970,1155,536
Raw Data (Em Spectrum),600,276,2251,1817,1122,647,337,821,5237,3556,2141,2756,750,280,2163,1564,969,623,419,259,4731,3672,2135,1405,672,227,2182,1463,1046,667,415,316,5285,3921,2209,1244,644,189,2622,1744,927,747,520,383,5212,3757,2062,1265,659,213,6641,4144,2264,1322,750,318,4287,3462,1897,1188,556,312,5536,3864,2575,1546,729,345,5376,3178,1775,927,623,392,5639,4586,2506,1794,587,324,4540,3485,1744,1299,691,1238,7764,4460,2719,1535,830,406,4327,3333,2064,1173,568
Raw Data (Em Spectrum),601,287,2271,1807,1126,595,373,781,5196,3772,2155,2784,702,239,2128,1624,1008,614,450,273,4994,3647,2215,1412,623,189,2201,1559,1056,700,421,291,5523,4078,2192,1316,702,277,2627,1688,1016,789,514,385,5567,4016,2248,1245,666,262,6720,4262,2480,1436,752,352,4574,3577,1917,1141,585,314,5742,3985,2500,1703,772,302,5584,3235,1855,1012,643,377,5838,4878,2715,1894,639,358,4572,3829,2047,1357,706,1312,7709,4809,2667,1538,902,412,4378,3444,2178,1222,693
Raw Data (Em Spectrum),602,232,2327,1946,1184,675,382,841,5427,4082,2463,2732,780,215,2163,1662,983,605,435,294,5213,3815,2494,1482,700,236,2393,1625,1038,690,394,312,5642,4117,2229,1266,727,242,2724,1847,1077,802,495,425,5780,4068,2270,1410,774,244,6954,4445,2477,1513,819,369,4673,3801,2071,1254,610,289,6085,4273,2672,1664,807,351,5679,3347,1818,1049,624,357,6204,5067,2779,2015,638,402,4866,3842,1964,1275,692,1275,7988,4870,2795,1648,946,441,4585,3662,2204,1299,620
Raw Data (Em Spectrum),603,269,2250,1918,1165,668,388,848,5701,3890,2426,2683,749,241,2387,1799,1109,647,471,324,5203,4083,2339,1503,674,223,2375,1532,1042,720,439,310,5877,4249,2318,1455,726,273,2727,1712,991,753,560,390,5855,4222,2444,1360,753,243,7249,4419,2650,1568,821,392,4550,3907,1962,1260,621,318,6201,4214,2588,1681,805,346,5903,3557,1997,971,607,362,6343,5220,2944,2019,651,380,5017,3994,2021,1467,700,1307,8155,4971,2798,1697,947,433,4773,3652,2155,1321,668
Raw Data (Em Spectrum),604,267,2417,1780,1110,681,379,772,5894,4279,2387,2820,731,220,2497,1720,1098,655,475,289,5451,4000,2575,1573,731,240,2451,1597,1074,746,421,329,6151,4453,2415,1395,822,257,2880,1850,1036,828,547,419,6125,4281,2503,1387,719,263,7311,4557,2694,1521,896,371,4962,4114,2006,1317,579,319,6395,4449,2832,1770,810,343,6088,3629,2096,1048,677,413,6678,5213,2854,2060,617,341,5171,4110,2132,1401,711,1208,8265,5219,2954,1673,932,465,4906,3866,2295,1397,661
Raw Data (Em Spectrum),605,283,2453,2028,1227,665,409,801,6065,4343,2530,2770,781,244,2382,1696,1174,673,472,315,5695,4408,2610,1641,720,260,2532,1662,1098,769,437,281,6163,4440,2425,1395,740,271,2858,1883,1023,844,545,450,6204,4324,2431,1450,779,264,7544,4985,2791,1674,832,397,4924,4040,2256,1326,639,319,6515,4556,2783,1810,860,315,6267,3816,2012,1094,734,354,6576,5378,3000,2152,716,372,5319,4341,2229,1495,649,1196,8484,5286,3073,1845,974,435,5209,3942,2418,1363,671
Raw Data (Em Spectrum),606,297,2536,1963,1240,711,338,779,6305,4338,2544,2832,801,229,2338,1773,1178,678,443,305,5805,4494,2628,1652,735,274,2628,1703,1053,760,453,315,6608,4748,2540,1551,779,266,2962,2062,1149,921,523,433,6626,4509,2534,1502,770,274,7658,4896,2775,1642,931,408,5205,4272,2317,1331,636,307,6750,4608,2913,1825,812,352,6484,3823,2177,1118,684,379,6880,5421,3016,2076,667,338,5479,4379,2249,1520,694,1283,8556,5477,3219,1802,1026,437,5147,4134,2433,1378,676
Raw Data (Em Spectrum),607,253,2475,2049,1170,723,347,750,6454,4409,2699,2818,850,249,2580,1794,1153,681,535,315,5850,4578,2780,1596,733,257,2730,1851,1115,681,476,311,6525,4871,2697,1458,754,261,2978,1924,1067,906,566,428,6536,4687,2692,1416,817,238,7768,5036,2864,1692,854,338,5372,4405,2421,1366,654,307,6918,4789,2960,1917,877,351,6525,3916,2229,1111,731,386,6991,5437,3089,2139,660,374,5708,4409,2364,1458,721,1224,8470,5587,3217,1855,1069,510,5320,4159,2521,1416,731
Raw Data (Em Spectrum),608,297,2580,2036,1280,792,359,790,6591,4807,2661,2888,858,259,2743,1820,1123,648,531,323,6047,4472,2801,1650,777,242,2682,1771,1149,754,420,333,6808,5011,2720,1482,796,289,3007,1962,1102,875,524,393,6566,4756,2737,1489,883,274,8046,5151,2911,1754,973,378,5663,4419,2355,1444,739,338,7149,4875,2875,1896,953,335,6784,4141,2247,1217,752,446,7256,5750,3370,2196,669,386,5487,4548,2289,1567,773,1174,8562,5754,3153,1847,1040,457,5527,4317,2595,1518,745
Raw Data (Em Spectrum),609,256,2662,2042,1193,795,340,810,6602,4691,2708,3018,821,239,2658,1891,1198,773,493,308,6180,4599,2742,1641,763,254,2807,1764,1144,745,472,317,6776,5088,2777,1456,877,291,2960,2048,1101,877,569,418,6667,4862,2813,1503,821,252,8280,5264,3048,1624,991,394,5684,4489,2458,1467,679,308,7156,5053,3007,1822,1006,314,6876,4267,2307,1150,730,355,7231,5708,3153,2128,698,414,5885,4816,2290,1635,726,1247,8696,5777,3330,1807,1032,461,5715,4470,2464,1529,747
Raw Data (Em Spectrum),610,238,2727,2116,1331,727,362,755,6886,4787,2716,2815,877,255,2585,1929,1087,692,515,310,6432,4632,2867,1774,757,218,2843,1868,1191,790,484,253,6894,5223,2801,1492,862,249,3009,2062,1185,932,611,415,7062,4953,2758,1560,886,212,8077,5243,3026,1789,967,393,5876,4889,2431,1499,692,297,7202,4975,3183,1817,943,332,7357,4060,2293,1263,757,412,7606,5858,3458,2273,655,380,6037,4804,2461,1700,740,1091,8965,5790,3319,1844,1102,447,5810,4501,2618,1577,761
Raw Data (Em Spectrum),611,253,2654,2255,1265,739,366,759,6961,5104,2867,2936,750,229,2716,1888,1212,766,504,320,6526,4977,2980,1760,810,222,2843,1833,1134,732,442,335,7012,5235,2807,1598,870,286,3051,2204,1216,948,546,437,7026,5128,2863,1635,934,235,8368,5279,2945,1769,987,397,6100,4720,2505,1500,739,311,7363,5233,3244,1957,939,393,7379,4172,2352,1247,752,346,7596,5927,3424,2461,688,353,6069,5020,2452,1782,712,1143,8954,6074,3344,1957,1041,422,5830,4731,2876,1571,814
Raw Data (Em Spectrum),612,243,2644,2176,1170,790,389,785,7098,4954,2918,2848,891,191,2828,1944,1201,765,506,295,6518,4950,2790,1840,792,227,2810,1872,1174,765,382,281,7208,5301,2792,1701,873,263,3289,2135,1251,882,520,396,7321,5262,2704,1687,821,225,8147,5532,2985,1663,902,367,5951,4774,2675,1516,718,308,7418,5017,3267,1957,961,382,7325,4279,2403,1285,758,385,7528,6081,3451,2281,673,391,6131,5069,2502,1757,783,1091,8988,6072,3426,1924,976,452,6025,4756,2873,1622,738
Raw Data (Em Spectrum),613,258,2824,2157,1277,768,407,759,7204,5063,2881,2995,884,238,2685,2029,1170,715,519,327,6582,5189,2966,1883,772,224,2863,1958,1254,791,487,308,7179,5346,2908,1727,868,228,3084,2212,1156,955,548,402,7350,5257,2966,1643,893,244,8437,5502,2915,1752,964,350,6141,4972,2605,1645,768,313,7402,5200,3153,1807,914,356,7697,4432,2351,1298,795,363,7446,5943,3313,2344,633,327,6287,5358,2577,1704,768,1037,8855,5974,3388,1825,1120,436,6189,4901,2771,1634,713
Raw Data (Em Spectrum),614,262,2859,2132,1404,779,366,725,7253,5142,3061,3131,857,225,2899,2044,1268,742,480,329,6991,5045,2922,1912,867,183,2989,1972,1240,723,452,306,7503,5420,2936,1583,908,220,3179,2238,1177,943,556,431,7540,5350,3005,1562,869,229,8451,5376,3100,1770,1043,355,6328,5119,2681,1631,769,301,7538,5332,3133,1858,934,320,7668,4493,2544,1309,779,401,7624,6101,3545,2324,739,352,6414,5049,2586,1840,790,1166,8963,6236,3580,2092,1147,482,6277,4989,2690,1608,748
Raw Data (Em Spectrum),615,209,2785,2224,1351,810,367,652,7370,5247,2999,3084,878,228,2966,2043,1342,732,525,325,6843,5197,3277,1930,866,226,3140,2093,1200,704,424,261,7554,5440,3034,1723,812,226,3277,2272,1306,932,570,374,7770,5416,3100,1605,873,228,8507,5473,3147,1831,996,363,6320,5176,2721,1676,591,322,7737,5087,3281,1827,920,325,7900,4545,2483,1335,791,377,7801,6144,3451,2375,636,358,6864,5513,2665,1824,793,1047,8945,6075,3569,1862,1012,478,6339,5080,2949,1622,824
Raw Data (Em Spectrum),616,230,2931,2251,1321,745,383,700,7506,5493,3161,3049,911,209,3080,2212,1294,784,489,297,6986,5254,3310,1934,844,189,3089,1934,1280,786,391,280,7897,5740,3027,1819,906,266,3389,2600,1208,975,606,446,7784,5630,3135,1721,966,240,8956,5790,3183,1881,999,355,6644,5385,2763,1611,736,288,7820,5347,3379,1951,992,314,7988,4829,2584,1378,844,331,8187,6315,3413,2406,695,333,6931,5615,2696,1889,786,1102,9338,6428,3523,2100,1090,434,6718,5064,2955,1778,798
Raw Data (Em Spectrum),617,241,3002,2388,1463,824,351,717,8134,5524,3149,3046,866,210,3095,2200,1366,776,473,278,7185,5480,3310,1934,876,215,3334,2076,1249,773,471,317,8100,6007,3102,1817,920,227,3527,2461,1322,968,495,417,8097,5858,3171,1724,898,207,9141,5637,3280,1902,910,310,7041,5622,2993,1785,773,271,7856,5515,3527,1893,1015,312,8337,4907,2783,1329,778,378,8497,6410,3612,2476,678,327,7449,5734,2927,2005,854,1073,9590,6454,3693,2054,1149,415,6900,5444,3166,1768,761
Raw Data (Em Spectrum),618,207,3280,2461,1428,906,470,684,8545,5940,3312,3200,990,184,3327,2346,1383,791,525,241,7716,5733,3377,2078,811,219,3397,2215,1316,824,478,311,8386,6375,3394,1826,933,209,3755,2667,1336,963,607,413,8413,6047,3369,1879,928,241,9336,5848,3439,1881,973,351,7318,5915,3090,1891,849,261,8363,5813,3392,2020,951,271,8856,5193,2812,1374,851,328,8503,6900,3757,2483,732,333,7619,6099,3016,1943,814,1058,9677,6783,3857,2127,1194,425,7617,5741,3215,1918,866
Raw Data (Em Spectrum),619,207,3430,2588,1510,855,395,658,8742,6207,3470,3185,1067,182,3508,2484,1487,842,506,271,8231,6101,3817,2150,817,220,3713,2345,1490,845,460,306,9033,6579,3531,2079,992,210,3918,2868,1358,1057,599,364,9066,6685,3617,1892,1040,190,9999,6354,3554,2084,1073,339,7912,6331,3579,1976,873,268,9051,6372,3584,2067,1057,324,9665,5638,2937,1634,959,324,9200,7093,3893,2535,825,319,8153,6534,3190,2185,840,1037,10128,6956,4070,2264,1171,425,7867,6192,3443,2019,893
Raw Data (Em Spectrum),620,232,3678,2840,1653,923,423,668,9654,6719,3961,3422,1029,181,3652,2762,1622,861,573,279,8813,6726,3869,2424,972,196,3928,2419,1511,918,477,276,9754,7260,3835,2184,1034,217,4047,3048,1594,1078,668,418,9690,6958,3827,2063,1109,199,10438,6920,3827,2159,1052,348,8452,6842,3706,1919,861,273,9548,6520,3858,2203,1042,263,10422,6401,3312,1645,954,351,9615,7614,4207,2646,756,307,9091,7123,3469,2360,864,967,10211,7624,4312,2448,1243,454,8457,6572,3827,2177,990
Raw Data (Em Spectrum),621,202,4233,3045,1767,936,426,631,10544,7407,4031,3318,1196,181,4186,2927,1672,920,552,250,9992,7386,4241,2506,1047,216,4404,2840,1651,920,492,287,10902,7836,4131,2340,1107,189,4418,3476,1683,1204,634,421,10899,7747,4144,2227,1165,237,10947,7281,4078,2275,1133,352,9406,7373,3981,2196,960,292,10360,7089,4318,2324,1165,334,11283,6803,3847,1830,1023,337,10310,8196,4536,2929,834,318,9858,7883,3863,2700,962,989,11309,8222,4681,2645,1328,426,9406,7460,3978,2319,1047
Raw Data (Em Spectrum),622,220,4707,3372,1980,1120,494,604,11751,8033,4608,3933,1118,167,4699,3538,1840,1005,626,261,10991,8060,4898,2953,1112,218,4820,3213,1808,1024,545,258,12039,9030,4610,2523,1198,234,5008,3699,1714,1405,760,476,12176,8678,4755,2388,1284,218,12329,8267,4591,2485,1220,414,11080,8452,4430,2499,1099,277,11652,7839,4613,2644,1295,368,13317,7536,4186,2106,1131,325,11845,9022,4970,3068,897,309,11074,8825,4363,2996,1061,940,12286,9263,5282,3006,1480,422,10943,8412,4691,2601,1080
Raw Data (Em Spectrum),623,198,5277,3839,2301,1208,516,519,13611,9479,5511,4176,1469,192,5198,3877,2142,1156,681,277,12927,9597,5626,3182,1365,209,5780,3674,2120,1227,601,264,13894,10220,5308,2820,1354,187,5722,4231,1955,1543,810,489,14240,9800,5503,2834,1384,200,14479,9360,5357,2718,1474,428,12746,9915,5017,2935,1315,269,12971,9078,5450,2996,1411,357,14987,9039,4816,2353,1291,360,13367,10190,5681,3542,920,346,12708,10368,5192,3309,1203,1021,13685,10379,6098,3215,1793,409,12367,9775,5280,3056,1260
Raw Data (Em Spectrum),624,210,6008,4352,2601,1373,571,543,15648,11070,6159,4391,1499,176,6268,4293,2595,1348,755,291,14885,11263,6329,3739,1477,221,6656,4086,2458,1270,666,288,16297,12144,6228,3530,1633,243,6419,4864,2349,1773,968,515,16213,11520,6382,3479,1480,232,15903,10709,6119,3065,1516,445,14499,11252,5898,3376,1320,249,15458,10373,6080,3457,1591,375,17276,10508,5571,2746,1410,372,15072,11674,6609,3957,1136,327,14952,12091,5890,3941,1373,948,15287,11500,6740,3650,1933,540,14239,11003,6298,3524,1415
